,受访页面,2018-06-15,2018-06-16,2018-06-17,2018-06-18,2018-06-19,2018-06-20,2018-06-21,2018-06-22,2018-06-23,2018-06-24,2018-06-25,2018-06-26,2018-06-27,2018-06-28,2018-06-29,2018-06-30,2018-07-01,2018-07-02,2018-07-03,2018-07-04,2018-07-05,2018-07-06,2018-07-07,2018-07-08,2018-07-09,2018-07-10,2018-07-11,2018-07-12,2018-07-13,2018-07-14,2018-07-15,2018-07-16,2018-07-17,2018-07-18,2018-07-19,2018-07-20,2018-07-21,2018-07-22,2018-07-23,2018-07-24,2018-07-25,2018-07-26,2018-07-27,2018-07-28,2018-07-29
0,https://fenqi.52wxr.com/h5/cardevo/index.html#/stageCard,179,138,177,133,90,148,137,107,141,130,74,82,129,664,516,471,391,310,257,278,576,581,252,225,230,290,224,256,575,242,327,223,245,306,410,621,377,287,304,423,402,331,657,404,285
1,https://fenqi.52wxr.com/h5/cardevo/index.html#/payCustomer/status,78,89,64,74,38,53,56,32,70,73,45,46,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,支付成功页面,71,95,81,67,481,49,60,42,87,81,421,521,613,135,237,246,243,202,187,17871,181,2254,177,158,154,183,1691,173,198,184,225,174,222,212,213,262,288,245,2471,283,2761,2742,2274,2785,250
3,https://fenqi.52wxr.com/h5/cardevo/index.html#/payCustomerStation/1,70,97,82,78,50,57,69,36,98,79,47,64,62,144,233,269,270,196,199,179,215,226,177,154,144,195,158,200,212,207,241,180,211,216,219,279,315,253,265,291,285,276,250,277,274
4,https://fenqi.52wxr.com/h5/cardevo/index.html#/payAttention?attenType=1&inviteCode=793965&subbranchId=b3744ce957ff45928d28171b5955b7ae,15,3,1,1,0,1,1,3,4,5,1,2,2,0,2,3,2,0,0,0,1,0,0,0,3,1,1,1,0,0,1,0,0,3,2,2,2,1,0,0,1,0,0,2,4
5,https://fenqi.52wxr.com/h5/cardevo/index.html#/payAttention?attenType=2&attentionQRcode=https://imgs.52wxr.com/upload/image/201806/20180604/1528102024285083846.jpg,9,7,3,5,4,6,7,5,3,4,0,6,2,6,0,1,3,1,1,2,11,6,9,3,3,9,6,6,7,9,13,4,11,19,7,7,9,7,8,6,4,6,4,3,6
6,http://test.fenqi.52wxr.com/h5/cardevo/index.html#/stageCard,7,0,0,0,22,5,6,21,0,4,21,67,209,60,8,0,0,14,214,148,15,54,0,0,9,35,4,50,55,0,0,18,70,108,17,29,0,1,63,20,9,2,11,1,0
7,老板账单列表页,6,2,3,2,62,6,62,205,0,4,4,21,99,273,26,34,24,17,22,2422,35,3231,10,19,151,21,23,222,11,17,262,283,2117,2218,331,21,25,18,241,2416,239,185,192,202,24
8,https://fenqi.52wxr.com/h5/cardevo/index.html#/payAttention?attenType=2&attentionQRcode=https://imgs.52wxr.com/upload/image/201806/20180605/1528177888297038056.jpg,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,https://fenqi.52wxr.com/h5/cardevo/index.html#/payAttention?attenType=2&attentionQRcode=https://imgs.52wxr.com/upload/image/201805/20180523/1527045778737072801.jpg,3,3,1,2,0,0,0,0,3,3,0,1,1,0,3,1,2,1,1,1,3,0,0,2,0,0,0,0,0,2,0,1,0,4,1,2,1,0,0,0,3,0,1,1,3
10,https://fenqi.52wxr.com/h5/cardevo/index.html#/productDetailOnce/d130dca125bb4f88ae01a44137eb5be4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,https://fenqi.52wxr.com/h5/cardevo/index.html#/payAttention?attenType=1&inviteCode=228252&subbranchId=00sstddsgqiangongdiano893y920,2,0,1,0,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1
12,http://test.fenqi.52wxr.com/h5/card/pay/couponDetail.html?couponId=f82a57f2c6a940cba089218ef89fd6a0&merchantId=1ae39199ce82424eb8f730324bd67461&hasCard=3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,https://fenqi.52wxr.com/h5/cardevo/index.html#/productDetailOnce/7feb1074f1fb4968a82b9c0710681e9c,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
